Start Time,Average of Latency(ms)
1717638229913,17
1717638229915,23.54545455
1717638229916,26.25
1717638229918,26.75
1717638229930,23
1717638229938,31.8
1717638229939,30.85714286
1717638229940,31.2
1717638229941,30
1717638229944,27.33333333
1717638229947,25
1717638229953,19
1717638229969,22.28571429
1717638229971,22.16666667
1717638229972,23.14285714
1717638229991,23
1717638229992,22
1717638229993,40.61111111
1717638229997,38
1717638229998,37
1717638230014,37.5
1717638230034,25
1717638230035,26.44444444
1717638230050,30.2
1717638230053,30
1717638230059,31
1717638230060,30
1717638230069,28.6
1717638230083,24.22222222
1717638230090,29.11111111
1717638230092,26
1717638230099,22.5
1717638230101,19
1717638230108,23.5
1717638230118,27
1717638230120,32.58333333
1717638230122,34.33333333
1717638230128,39
1717638230133,34
1717638230134,33
1717638230145,22.08333333
1717638230155,24.5
1717638230156,25
1717638230157,24
1717638230167,31.21052632
1717638230168,34
1717638230175,27
1717638230181,41
1717638230183,39
1717638230190,32
1717638230196,31
1717638230198,29
1717638230201,26
1717638230202,28.5
1717638230222,22
1717638230227,34.25
1717638230232,30
1717638230241,21
1717638230242,20
1717638230243,19
1717638230246,24.28571429
1717638230261,34.22222222
1717638230262,33.75
1717638230270,27
1717638230271,26.5
1717638230295,21
1717638230296,20.3125
1717638230297,23
1717638230298,23
1717638230316,22.16
1717638230318,24
1717638230319,27
1717638230320,22
1717638230321,24
1717638230338,22.0952381
1717638230339,22
1717638230342,23
1717638230345,26.66666667
1717638230346,28
1717638230357,18
1717638230358,22
1717638230360,47
1717638230361,46
1717638230367,41
1717638230374,34
1717638230375,32
1717638230380,27.5
1717638230407,33.44
1717638230408,32.85714286
1717638230440,21.2
1717638230441,24.64705882
1717638230461,30
1717638230462,29.125
1717638230463,28.28571429
1717638230473,26
1717638230491,27.08333333
1717638230492,27.33333333
1717638230495,24
1717638230500,26
1717638230517,22
1717638230518,24.6
1717638230519,29
1717638230520,29
1717638230526,26
1717638230539,23.2
1717638230543,19
1717638230544,18
1717638230546,24.55555556
1717638230549,29
1717638230552,26
1717638230562,21.81818182
1717638230563,25
1717638230567,21
1717638230576,18
1717638230578,29.91666667
1717638230579,32
1717638230583,33
1717638230588,28.91666667
1717638230593,32
1717638230595,31
1717638230598,27
1717638230599,26.5
1717638230611,24.23076923
1717638230615,28.5
1717638230617,31.45454545
1717638230618,31
1717638230625,24
1717638230626,30
1717638230634,29
1717638230636,28.75
1717638230640,23
1717638230647,22
1717638230649,25.75
1717638230656,24
1717638230663,26
1717638230665,42.125
1717638230670,37
1717638230671,36
1717638230673,35
1717638230675,33
1717638230677,31
1717638230680,28
1717638230689,31
1717638230707,23.72727273
1717638230708,24.85714286
1717638230720,26.14285714
1717638230728,40
1717638230733,35.1875
1717638230734,34.66666667
1717638230735,33
1717638230748,25
1717638230768,24.47619048
1717638230769,22.55555556
1717638230781,24
1717638230784,21
1717638230790,21
1717638230792,27.1
1717638230795,29
1717638230796,34
1717638230805,25
1717638230811,26
1717638230816,36.33333333
1717638230817,39.8
1717638230818,39
1717638230823,34
1717638230824,33
1717638230825,32
1717638230830,31.2
1717638230837,25
1717638230845,18
1717638230856,27
1717638230857,26.15
1717638230862,21
1717638230863,20.5
1717638230883,28.71428571
1717638230884,28
1717638230911,23.25
1717638230912,24.79166667
1717638230929,19.5
1717638230936,32.43478261
1717638230937,63
1717638230939,32.33333333
1717638230949,23
1717638230967,38.75
1717638230970,30
1717638230972,27
1717638230991,19
1717638230994,22
1717638231000,38.85714286
1717638231010,30
1717638231016,39.88888889
1717638231025,35
1717638231029,31
1717638231040,72.66666667
1717638231041,73
1717638231044,72.83333333
1717638231060,50.85714286
1717638231107,67.83333333
1717638231108,49.07142857
1717638231114,51
1717638231115,50
1717638231116,49
1717638231119,46
1717638231151,20
1717638231152,51
1717638231153,24
1717638231154,29
1717638231158,32
1717638231159,32.5
1717638231160,31
1717638231165,31.75
1717638231171,131
1717638231177,125
1717638231183,31
1717638231191,24.85714286
1717638231192,26.33333333
1717638231200,99.25
1717638231203,98
1717638231214,80.85714286
1717638231215,84
1717638231218,81
1717638231219,80
1717638231289,44.33333333
1717638231299,30.78947368
1717638231300,33.8
1717638231302,35
1717638231303,34
1717638231320,19
1717638231329,31.85714286
1717638231330,29.66666667
1717638231332,72
1717638231333,52
1717638231337,67
1717638231339,115
1717638231352,52
1717638231353,51
1717638231354,50.5
1717638231357,48
1717638231358,47
1717638231360,45
1717638231364,41
1717638231366,39
1717638231404,56.53846154
1717638231405,47.70588235
1717638231425,27
1717638231431,66.5
1717638231451,79
1717638231452,60.69230769
1717638231454,53.28571429
1717638231455,70
1717638231490,35
1717638231505,40.57142857
1717638231506,33.7
1717638231507,45
1717638231508,44
1717638231509,43
1717638231525,38.8
1717638231526,27
1717638231534,61
1717638231535,55.4
1717638231538,33
1717638231540,43
1717638231544,35
1717638231545,34
1717638231547,31.5
1717638231552,71.44444444
1717638231553,46.33333333
1717638231571,42.88888889
1717638231573,28
1717638231579,42
1717638231580,47
1717638231582,25
1717638231583,44
1717638231584,43
1717638231595,25
1717638231597,94
1717638231601,35
1717638231602,31.75
1717638231607,29
1717638231617,31
1717638231619,29
1717638231620,37
1717638231627,40.21428571
1717638231636,39.875
1717638231648,36
1717638231654,31
1717638231658,33
1717638231665,30
1717638231667,28
1717638231668,30.25
1717638231670,40.25
1717638231671,24
1717638231672,32
1717638231675,23
1717638231676,22
1717638231678,25
1717638231681,22.5
1717638231685,33
1717638231686,31
1717638231691,30.125
1717638231695,42
1717638231698,26
1717638231703,31.2
1717638231704,39.33333333
1717638231707,23
1717638231711,38.66666667
1717638231717,41.66666667
1717638231718,44.8
1717638231721,30
1717638231730,26.44444444
1717638231731,33.75
1717638231737,30
1717638231743,24
1717638231751,23.2
1717638231752,20
1717638231762,35.42857143
1717638231763,39.66666667
1717638231767,39
1717638231771,35
1717638231772,34
1717638231774,62
1717638231775,61
1717638231777,59
1717638231791,44.83333333
1717638231806,33.77272727
